127.0.0.1, 2019-04-23 23:00:59, GET, /, HTTP/1.1, 303, 0.003485
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.229111
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000759
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000752
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003315
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000477
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002230
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001593
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002898
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002121
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002005
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000230
127.0.0.1, 2019-04-23 23:00:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000594
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/default/index, HTTP/1.1, 200, 0.009802
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000679
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.004032
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.003115
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001327
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.002616
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.003602
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001557
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000598
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000498
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000480
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000325
127.0.0.1, 2019-04-23 23:01:04, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000337
127.0.0.1, 2019-04-23 23:01:05, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000498
127.0.0.1, 2019-04-23 23:01:07, GET, /examples/default/index, HTTP/1.1, 200, 0.005919
127.0.0.1, 2019-04-23 23:01:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.022619
127.0.0.1, 2019-04-23 23:03:07, GET, /start, HTTP/1.1, 200, 0.093955
127.0.0.1, 2019-04-23 23:03:07, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001429
127.0.0.1, 2019-04-23 23:03:07, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003810
127.0.0.1, 2019-04-23 23:03:07, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003286
127.0.0.1, 2019-04-23 23:03:07, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002086
127.0.0.1, 2019-04-23 23:03:07, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000953
127.0.0.1, 2019-04-23 23:03:07, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002785
127.0.0.1, 2019-04-23 23:03:07, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001910
